attacker_name,attacker_steamid,blind_duration,entityid,tick,user_name,user_steamid
Worfy,76561199052717313,3.7277052,320,2209,prosto bo$$,76561199068251294
Faat,76561198171814417,3.274582,322,2238,prosto bo$$,76561199068251294
Faat,76561198171814417,1.8983434,322,2238,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,1.3854984,443,10116,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,3.648409,443,10116,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,3.194339,449,10374,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,3.8437347,449,10374,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,4.2418633,105,14393,Faat,76561198171814417
shawty#)$@,76561199557907229,2.6620123,105,14393,Moon,76561198049602148
shawty#)$@,76561199557907229,0.56629246,105,14393,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,1.855883,105,14393,frees.tyler,76561198002613044
Moon,76561198049602148,0.5096244,438,17250,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,3.0695589,438,17250,zig,76561198274174345
Moon,76561198049602148,3.413078,441,17392,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,0.29072556,441,17392,zig,76561198274174345
Moon,76561198049602148,3.647638,441,17392,RME | Пацан,76561199826895670
Simple Dimple skins.army,76561199433997570,5.13615,445,17849,Moon,76561198049602148
Simple Dimple skins.army,76561199433997570,0.76919633,445,17849,Simple Dimple skins.army,76561199433997570
Worfy,76561199052717313,1.0351287,404,22100,Worfy,76561199052717313
Worfy,76561199052717313,4.52861,404,22100,Faat,76561198171814417
zig,76561198274174345,3.4381835,443,24634,prosto bo$$,76561199068251294
zig,76561198274174345,0.29837593,443,24634,Moon,76561198049602148
zig,76561198274174345,0.5957696,443,24634,frees.tyler,76561198002613044
zig,76561198274174345,0.90749294,415,24778,Worfy,76561199052717313
zig,76561198274174345,3.779816,415,24778,prosto bo$$,76561199068251294
zig,76561198274174345,3.2850306,415,24778,RME | Пацан,76561199826895670
Simple Dimple skins.army,76561199433997570,0.99349195,121,24910,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,0.74753964,138,24998,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,1.7891291,423,26476,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,1.2127225,423,26476,shawty#)$@,76561199557907229
frees.tyler,76561198002613044,3.7148237,292,35849,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,4.1450872,292,35849,RME | Пацан,76561199826895670
frees.tyler,76561198002613044,3.6492038,139,41831,prosto bo$$,76561199068251294
Moon,76561198049602148,0.7434909,450,42094,Moon,76561198049602148
Moon,76561198049602148,1.0407823,450,42094,shawty#)$@,76561199557907229
Moon,76561198049602148,1.4227339,450,42094,RME | Пацан,76561199826895670
Simple Dimple skins.army,76561199433997570,0.8883653,116,42156,Wybaczam.oficjalnie skins.army,76561199256543526
Simple Dimple skins.army,76561199433997570,0.9855594,116,42156,Simple Dimple skins.army,76561199433997570
Simple Dimple skins.army,76561199433997570,3.9977121,116,42156,frees.tyler,76561198002613044
Moon,76561198049602148,0.7343852,414,49904,Moon,76561198049602148
frees.tyler,76561198002613044,3.5427713,121,50237,Wybaczam.oficjalnie skins.army,76561199256543526
frees.tyler,76561198002613044,1.0040833,121,50237,frees.tyler,76561198002613044
shawty#)$@,76561199557907229,0.6815904,118,51455,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,0.66848063,118,51455,zig,76561198274174345
Moon,76561198049602148,4.4808955,131,57987,Wybaczam.oficjalnie skins.army,76561199256543526
shawty#)$@,76561199557907229,0.52601606,84,58077,RME | Пацан,76561199826895670
frees.tyler,76561198002613044,0.5863771,77,58467,Wybaczam.oficjalnie skins.army,76561199256543526
frees.tyler,76561198002613044,5.1564994,77,58467,prosto bo$$,76561199068251294
Simple Dimple skins.army,76561199433997570,2.0977747,94,59339,Worfy,76561199052717313
Simple Dimple skins.army,76561199433997570,4.6954618,94,59339,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,3.572932,77,64365,Wybaczam.oficjalnie skins.army,76561199256543526
frees.tyler,76561198002613044,0.4852224,77,64365,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,4.931645,77,64365,shawty#)$@,76561199557907229
shawty#)$@,76561199557907229,2.2597656,415,64536,shawty#)$@,76561199557907229
Simple Dimple skins.army,76561199433997570,0.93015546,346,65097,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,3.3951175,346,65097,Moon,76561198049602148
Simple Dimple skins.army,76561199433997570,1.7533011,346,65097,Simple Dimple skins.army,76561199433997570
Simple Dimple skins.army,76561199433997570,0.9423828,346,65097,zig,76561198274174345
Simple Dimple skins.army,76561199433997570,3.4934723,346,65097,frees.tyler,76561198002613044
Moon,76561198049602148,0.48584616,104,65800,Faat,76561198171814417
Moon,76561198049602148,1.993491,104,65800,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,4.052755,104,65800,zig,76561198274174345
Moon,76561198049602148,0.97293764,344,66746,Moon,76561198049602148
Moon,76561198049602148,3.5900187,344,66746,RME | Пацан,76561199826895670
Worfy,76561199052717313,4.4263062,94,72041,Wybaczam.oficjalnie skins.army,76561199256543526
Worfy,76561199052717313,0.7942499,94,72041,Moon,76561198049602148
frees.tyler,76561198002613044,1.6823657,424,73843,frees.tyler,76561198002613044
prosto bo$$,76561199068251294,4.040052,134,74947,Worfy,76561199052717313
prosto bo$$,76561199068251294,0.71166724,134,74947,prosto bo$$,76561199068251294
Moon,76561198049602148,0.29853782,132,78156,zig,76561198274174345
shawty#)$@,76561199557907229,4.562061,134,78645,Worfy,76561199052717313
shawty#)$@,76561199557907229,4.3517537,134,78645,Moon,76561198049602148
shawty#)$@,76561199557907229,0.7310017,134,78645,shawty#)$@,76561199557907229
frees.tyler,76561198002613044,3.5460136,121,78727,prosto bo$$,76561199068251294
Simple Dimple skins.army,76561199433997570,3.8222287,84,79158,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,3.725146,84,79158,zig,76561198274174345
Simple Dimple skins.army,76561199433997570,2.7235663,84,79158,RME | Пацан,76561199826895670
Wybaczam.oficjalnie skins.army,76561199256543526,0.5582852,82,87198,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,3.7275288,82,87198,Moon,76561198049602148
Wybaczam.oficjalnie skins.army,76561199256543526,0.55209476,82,87198,RME | Пацан,76561199826895670
RME | Пацан,76561199826895670,3.040039,176,87242,Moon,76561198049602148
prosto bo$$,76561199068251294,2.3037078,486,87292,Wybaczam.oficjalnie skins.army,76561199256543526
prosto bo$$,76561199068251294,2.4179728,486,87292,Moon,76561198049602148
prosto bo$$,76561199068251294,2.474826,486,87292,Simple Dimple skins.army,76561199433997570
Wybaczam.oficjalnie skins.army,76561199256543526,3.6629915,343,87382,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,1.0686035,343,87382,Simple Dimple skins.army,76561199433997570
Wybaczam.oficjalnie skins.army,76561199256543526,0.4057576,343,87382,RME | Пацан,76561199826895670
Worfy,76561199052717313,0.9648524,125,87895,Worfy,76561199052717313
Worfy,76561199052717313,0.9377352,125,87895,frees.tyler,76561198002613044
frees.tyler,76561198002613044,0.49995002,405,88637,Worfy,76561199052717313
frees.tyler,76561198002613044,0.23060173,405,88637,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,2.6093507,405,88637,frees.tyler,76561198002613044
Moon,76561198049602148,2.9526963,464,92686,Moon,76561198049602148
Moon,76561198049602148,1.3123753,464,92686,frees.tyler,76561198002613044
RME | Пацан,76561199826895670,2.5177321,149,92736,Faat,76561198171814417
shawty#)$@,76561199557907229,1.9992045,76,93203,Faat,76561198171814417
zig,76561198274174345,1.9775199,396,100211,zig,76561198274174345
Wybaczam.oficjalnie skins.army,76561199256543526,3.2004316,104,100279,frees.tyler,76561198002613044
Worfy,76561199052717313,0.9849534,121,101345,Worfy,76561199052717313
Worfy,76561199052717313,0.6224252,121,101345,Simple Dimple skins.army,76561199433997570
Worfy,76561199052717313,0.15758474,121,101345,frees.tyler,76561198002613044
frees.tyler,76561198002613044,0.5471741,485,102138,RME | Пацан,76561199826895670
Worfy,76561199052717313,1.0401523,78,102208,Worfy,76561199052717313
Worfy,76561199052717313,3.8570511,78,102208,prosto bo$$,76561199068251294
Worfy,76561199052717313,0.2990415,78,102208,Moon,76561198049602148
Worfy,76561199052717313,4.3398447,78,102208,shawty#)$@,76561199557907229
shawty#)$@,76561199557907229,0.29837012,108,106494,frees.tyler,76561198002613044
Worfy,76561199052717313,3.3273084,411,106863,Worfy,76561199052717313
Worfy,76561199052717313,1.9145523,411,106863,frees.tyler,76561198002613044
prosto bo$$,76561199068251294,1.0338975,442,107712,Wybaczam.oficjalnie skins.army,76561199256543526
prosto bo$$,76561199068251294,0.6796696,442,107712,prosto bo$$,76561199068251294
prosto bo$$,76561199068251294,1.6926844,442,107712,Moon,76561198049602148
prosto bo$$,76561199068251294,3.8270402,442,107712,Simple Dimple skins.army,76561199433997570
Simple Dimple skins.army,76561199433997570,0.9436069,140,113546,prosto bo$$,76561199068251294
Simple Dimple skins.army,76561199433997570,0.9849754,140,113546,Simple Dimple skins.army,76561199433997570
shawty#)$@,76561199557907229,4.4042387,130,114191,shawty#)$@,76561199557907229
shawty#)$@,76561199557907229,4.142243,130,114191,zig,76561198274174345
shawty#)$@,76561199557907229,5.053776,130,114191,frees.tyler,76561198002613044
shawty#)$@,76561199557907229,0.39013016,130,114191,RME | Пацан,76561199826895670
frees.tyler,76561198002613044,1.5435413,105,114720,Moon,76561198049602148
frees.tyler,76561198002613044,0.91789377,105,114720,Simple Dimple skins.army,76561199433997570
frees.tyler,76561198002613044,1.7677253,105,114720,frees.tyler,76561198002613044
frees.tyler,76561198002613044,4.5648274,105,114720,RME | Пацан,76561199826895670
Wybaczam.oficjalnie skins.army,76561199256543526,0.45654312,137,118213,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,0.78732705,137,118213,frees.tyler,76561198002613044
Moon,76561198049602148,4.6674657,105,118456,prosto bo$$,76561199068251294
Moon,76561198049602148,4.6979365,105,118456,Moon,76561198049602148
Moon,76561198049602148,5.1179824,105,118456,shawty#)$@,76561199557907229
Moon,76561198049602148,4.5068784,105,118456,Simple Dimple skins.army,76561199433997570
Moon,76561198049602148,0.27719927,105,118456,RME | Пацан,76561199826895670
RME | Пацан,76561199826895670,1.4854009,323,119069,Worfy,76561199052717313
RME | Пацан,76561199826895670,1.500006,323,119069,Moon,76561198049602148
Simple Dimple skins.army,76561199433997570,4.451941,88,120174,Wybaczam.oficjalnie skins.army,76561199256543526
Simple Dimple skins.army,76561199433997570,3.5592442,88,120174,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,3.1905968,88,120174,Simple Dimple skins.army,76561199433997570
Worfy,76561199052717313,0.7892571,133,120359,Worfy,76561199052717313
Simple Dimple skins.army,76561199433997570,0.92059714,120,120467,Wybaczam.oficjalnie skins.army,76561199256543526
Simple Dimple skins.army,76561199433997570,1.3084092,120,120467,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,0.95698273,120,120467,Simple Dimple skins.army,76561199433997570
Simple Dimple skins.army,76561199433997570,0.9301413,120,120467,RME | Пацан,76561199826895670
RME | Пацан,76561199826895670,0.12976283,83,122282,Moon,76561198049602148
RME | Пацан,76561199826895670,0.15161644,83,122282,RME | Пацан,76561199826895670
Wybaczam.oficjalnie skins.army,76561199256543526,0.6068777,320,126159,Wybaczam.oficjalnie skins.army,76561199256543526
Wybaczam.oficjalnie skins.army,76561199256543526,0.2497815,320,126159,Faat,76561198171814417
Wybaczam.oficjalnie skins.army,76561199256543526,4.060297,320,126159,frees.tyler,76561198002613044
frees.tyler,76561198002613044,4.3549724,440,127266,RME | Пацан,76561199826895670
RME | Пацан,76561199826895670,3.5111244,324,130942,Worfy,76561199052717313
RME | Пацан,76561199826895670,1.039329,324,130942,Faat,76561198171814417
Wybaczam.oficjalnie skins.army,76561199256543526,3.2989,148,131089,Worfy,76561199052717313
Wybaczam.oficjalnie skins.army,76561199256543526,2.807596,148,131089,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,3.2117188,347,131139,Faat,76561198171814417
Simple Dimple skins.army,76561199433997570,0.6957276,347,131139,prosto bo$$,76561199068251294
Simple Dimple skins.army,76561199433997570,1.0091022,347,131139,Simple Dimple skins.army,76561199433997570
Simple Dimple skins.army,76561199433997570,0.94297326,347,131139,RME | Пацан,76561199826895670
Worfy,76561199052717313,0.7563072,133,131701,Wybaczam.oficjalnie skins.army,76561199256543526
Worfy,76561199052717313,0.8645226,133,131701,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,4.120869,88,132085,Wybaczam.oficjalnie skins.army,76561199256543526
frees.tyler,76561198002613044,3.354627,88,132085,prosto bo$$,76561199068251294
frees.tyler,76561198002613044,0.9232012,88,132085,frees.tyler,76561198002613044
Wybaczam.oficjalnie skins.army,76561199256543526,2.1853607,401,138574,Worfy,76561199052717313
Wybaczam.oficjalnie skins.army,76561199256543526,0.31316942,401,138574,Simple Dimple skins.army,76561199433997570
