is_freeze_period,is_warmup_period,is_terrorist_timeout,is_ct_timeout,is_technical_timeout,is_waiting_for_resume,round_start_time,game_time,tick,steamid,name
False,True,False,False,False,False,3.15625,38.625,1,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.625,1,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.625,1,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.625,1,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.625,1,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.625,1,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.625,1,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.625,1,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.625,1,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.625,1,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.640625,2,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.640625,2,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.640625,2,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.640625,2,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.640625,2,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.640625,2,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.640625,2,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.640625,2,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.640625,2,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.640625,2,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.65625,3,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.65625,3,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.65625,3,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.65625,3,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.65625,3,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.65625,3,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.65625,3,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.65625,3,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.65625,3,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.65625,3,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.671875,4,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.671875,4,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.671875,4,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.671875,4,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.671875,4,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.671875,4,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.671875,4,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.671875,4,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.671875,4,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.671875,4,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.6875,5,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.6875,5,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.6875,5,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.6875,5,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.6875,5,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.6875,5,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.6875,5,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.6875,5,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.6875,5,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.6875,5,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.703125,6,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.703125,6,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.703125,6,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.703125,6,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.703125,6,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.703125,6,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.703125,6,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.703125,6,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.703125,6,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.703125,6,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.71875,7,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.71875,7,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.71875,7,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.71875,7,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.71875,7,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.71875,7,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.71875,7,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.71875,7,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.71875,7,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.71875,7,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.734375,8,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.734375,8,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.734375,8,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.734375,8,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.734375,8,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.734375,8,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.734375,8,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.734375,8,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.734375,8,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.734375,8,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.75,9,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.75,9,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.75,9,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.75,9,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.75,9,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.75,9,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.75,9,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.75,9,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.75,9,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.75,9,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.765625,10,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.765625,10,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.765625,10,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.765625,10,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.765625,10,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.765625,10,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.765625,10,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.765625,10,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.765625,10,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.765625,10,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.78125,11,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.78125,11,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.78125,11,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.78125,11,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.78125,11,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.78125,11,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.78125,11,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.78125,11,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.78125,11,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.78125,11,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.796875,12,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.796875,12,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.796875,12,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.796875,12,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.796875,12,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.796875,12,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.796875,12,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.796875,12,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.796875,12,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.796875,12,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.8125,13,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.8125,13,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.8125,13,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.8125,13,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.8125,13,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.8125,13,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.8125,13,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.8125,13,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.8125,13,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.8125,13,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.828125,14,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.828125,14,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.828125,14,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.828125,14,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.828125,14,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.828125,14,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.828125,14,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.828125,14,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.828125,14,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.828125,14,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.84375,15,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.84375,15,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.84375,15,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.84375,15,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.84375,15,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.84375,15,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.84375,15,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.84375,15,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.84375,15,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.84375,15,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.859375,16,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.859375,16,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.859375,16,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.859375,16,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.859375,16,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.859375,16,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.859375,16,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.859375,16,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.859375,16,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.859375,16,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.875,17,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.875,17,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.875,17,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.875,17,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.875,17,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.875,17,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.875,17,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.875,17,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.875,17,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.875,17,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.890625,18,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.890625,18,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.890625,18,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.890625,18,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.890625,18,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.890625,18,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.890625,18,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.890625,18,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.890625,18,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.890625,18,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.90625,19,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.90625,19,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.90625,19,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.90625,19,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.90625,19,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.90625,19,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.90625,19,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.90625,19,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.90625,19,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.90625,19,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.921875,20,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.921875,20,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.921875,20,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.921875,20,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.921875,20,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.921875,20,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.921875,20,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.921875,20,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.921875,20,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.921875,20,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.9375,21,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.9375,21,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.9375,21,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.9375,21,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.9375,21,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.9375,21,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.9375,21,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.9375,21,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.9375,21,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.9375,21,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.953125,22,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.953125,22,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.953125,22,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.953125,22,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.953125,22,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.953125,22,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.953125,22,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.953125,22,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.953125,22,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.953125,22,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.96875,23,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.96875,23,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.96875,23,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.96875,23,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.96875,23,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.96875,23,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.96875,23,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.96875,23,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.96875,23,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.96875,23,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,38.984375,24,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,38.984375,24,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,38.984375,24,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,38.984375,24,76561198274174345,zig
False,True,False,False,False,False,3.15625,38.984375,24,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,38.984375,24,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,38.984375,24,76561198049602148,Moon
False,True,False,False,False,False,3.15625,38.984375,24,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,38.984375,24,76561198171814417,Faat
False,True,False,False,False,False,3.15625,38.984375,24,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.0,25,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.0,25,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.0,25,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.0,25,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.0,25,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.0,25,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.0,25,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.0,25,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.0,25,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.0,25,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.015625,26,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.015625,26,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.015625,26,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.015625,26,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.015625,26,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.015625,26,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.015625,26,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.015625,26,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.015625,26,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.015625,26,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.03125,27,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.03125,27,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.03125,27,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.03125,27,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.03125,27,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.03125,27,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.03125,27,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.03125,27,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.03125,27,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.03125,27,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.046875,28,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.046875,28,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.046875,28,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.046875,28,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.046875,28,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.046875,28,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.046875,28,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.046875,28,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.046875,28,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.046875,28,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.0625,29,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.0625,29,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.0625,29,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.0625,29,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.0625,29,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.0625,29,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.0625,29,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.0625,29,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.0625,29,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.0625,29,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.078125,30,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.078125,30,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.078125,30,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.078125,30,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.078125,30,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.078125,30,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.078125,30,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.078125,30,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.078125,30,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.078125,30,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.09375,31,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.09375,31,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.09375,31,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.09375,31,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.09375,31,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.09375,31,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.09375,31,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.09375,31,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.09375,31,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.09375,31,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.109375,32,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.109375,32,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.109375,32,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.109375,32,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.109375,32,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.109375,32,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.109375,32,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.109375,32,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.109375,32,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.109375,32,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.125,33,76561199256543526,Wybaczam.oficjalnie skins.army
False,True,False,False,False,False,3.15625,39.125,33,76561199826895670,RME | Пацан
False,True,False,False,False,False,3.15625,39.125,33,76561198002613044,frees.tyler
False,True,False,False,False,False,3.15625,39.125,33,76561198274174345,zig
False,True,False,False,False,False,3.15625,39.125,33,76561199433997570,Simple Dimple skins.army
False,True,False,False,False,False,3.15625,39.125,33,76561199557907229,shawty#)$@
False,True,False,False,False,False,3.15625,39.125,33,76561198049602148,Moon
False,True,False,False,False,False,3.15625,39.125,33,76561199068251294,prosto bo$$
False,True,False,False,False,False,3.15625,39.125,33,76561198171814417,Faat
False,True,False,False,False,False,3.15625,39.125,33,76561199052717313,Worfy
False,True,False,False,False,False,3.15625,39.140625,34,76561199256543526,Wybaczam.oficjalnie skins.army
