is_connected,ping,score,armor,health,life_state,team_num,has_defuser,has_helmet,team_name,is_alive,tick,steamid,name
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,1,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,1,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,1,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,1,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,1,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,1,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,1,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,1,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,1,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,1,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,2,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,2,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,2,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,2,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,2,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,2,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,2,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,2,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,2,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,2,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,3,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,3,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,3,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,3,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,3,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,3,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,3,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,3,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,3,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,3,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,4,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,4,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,4,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,4,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,4,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,4,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,4,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,4,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,4,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,4,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,5,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,5,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,5,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,5,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,5,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,5,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,5,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,5,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,5,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,5,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,6,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,6,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,6,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,6,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,6,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,6,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,6,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,6,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,6,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,6,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,7,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,7,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,7,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,7,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,7,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,7,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,7,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,7,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,7,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,7,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,8,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,8,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,8,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,8,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,8,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,8,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,8,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,8,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,8,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,8,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,9,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,9,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,9,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,9,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,9,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,9,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,9,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,9,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,9,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,9,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,10,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,10,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,10,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,10,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,10,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,10,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,10,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,10,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,10,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,10,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,11,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,11,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,11,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,11,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,11,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,11,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,11,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,11,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,11,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,11,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,12,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,12,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,12,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,12,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,12,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,12,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,12,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,12,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,12,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,12,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,13,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,13,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,13,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,13,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,13,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,13,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,13,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,13,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,13,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,13,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,14,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,14,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,14,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,14,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,14,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,14,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,14,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,14,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,14,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,14,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,15,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,15,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,15,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,15,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,15,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,15,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,15,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,15,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,15,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,15,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,16,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,16,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,16,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,16,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,16,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,16,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,16,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,16,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,16,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,16,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,17,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,17,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,17,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,17,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,17,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,17,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,17,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,17,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,17,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,17,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,18,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,18,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,18,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,18,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,18,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,18,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,18,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,18,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,18,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,18,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,19,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,19,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,19,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,19,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,19,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,19,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,19,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,19,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,19,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,19,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,20,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,20,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,20,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,20,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,20,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,20,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,20,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,20,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,20,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,20,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,21,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,21,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,21,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,21,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,21,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,21,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,21,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,21,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,21,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,21,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,22,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,22,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,22,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,22,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,22,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,22,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,22,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,22,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,22,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,22,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,23,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,23,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,23,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,23,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,23,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,23,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,23,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,23,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,23,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,23,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,24,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,24,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,24,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,24,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,24,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,24,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,24,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,24,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,24,76561198171814417,Faat
0,37,4,0,100.0,0.0,2.0,False,False,TERRORIST,True,24,76561199052717313,Worfy
0,22,0,0,100.0,0.0,3.0,False,False,CT,True,25,76561199256543526,Wybaczam.oficjalnie skins.army
0,28,0,0,100.0,0.0,3.0,False,False,CT,True,25,76561199826895670,RME | Пацан
0,42,0,0,100.0,0.0,2.0,False,False,TERRORIST,True,25,76561198002613044,frees.tyler
0,41,4,100,24.0,0.0,2.0,False,True,TERRORIST,True,25,76561198274174345,zig
0,24,0,0,100.0,0.0,3.0,False,False,CT,True,25,76561199433997570,Simple Dimple skins.army
0,30,0,0,0.0,1.0,3.0,False,False,CT,False,25,76561199557907229,shawty#)$@
0,38,0,100,100.0,0.0,2.0,False,True,TERRORIST,True,25,76561198049602148,Moon
0,32,0,0,78.0,0.0,3.0,False,False,CT,True,25,76561199068251294,prosto bo$$
0,44,3,100,100.0,0.0,2.0,False,True,TERRORIST,True,25,76561198171814417,Faat
