usercmd_viewangle_y,usercmd_impulse,usercmd_viewangle_x,tick,steamid,name
,,,1,76561199256543526,Wybaczam.oficjalnie skins.army
,,,1,76561199826895670,RME | Пацан
,,,1,76561198002613044,frees.tyler
,,,1,76561198274174345,zig
,,,1,76561199433997570,Simple Dimple skins.army
,,,1,76561199557907229,shawty#)$@
,,,1,76561198049602148,Moon
,,,1,76561199068251294,prosto bo$$
,,,1,76561198171814417,Faat
,,,1,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,2,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,2,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,2,76561198002613044,frees.tyler
96.05051,0.0,4.727787,2,76561198274174345,zig
-129.99985,0.0,0.0,2,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,2,76561199557907229,shawty#)$@
55.71785,0.0,89.0,2,76561198049602148,Moon
-154.77428,0.0,-0.18480003,2,76561199068251294,prosto bo$$
158.12357,0.0,9.869939,2,76561198171814417,Faat
23.648296,0.0,1.5488039,2,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,3,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,3,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,3,76561198002613044,frees.tyler
96.05051,0.0,4.727787,3,76561198274174345,zig
-129.99985,0.0,0.0,3,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,3,76561199557907229,shawty#)$@
55.64525,0.0,87.8384,3,76561198049602148,Moon
-154.86668,0.0,-0.18480003,3,76561199068251294,prosto bo$$
154.36508,0.0,10.031594,3,76561198171814417,Faat
23.648296,0.0,1.5840039,3,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,4,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,4,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,4,76561198002613044,frees.tyler
96.05051,0.0,4.727787,4,76561198274174345,zig
-129.99985,0.0,0.0,4,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,4,76561199557907229,shawty#)$@
55.548447,0.0,83.845406,4,76561198049602148,Moon
-154.91289,0.0,-0.13860004,4,76561199068251294,prosto bo$$
152.42522,0.0,10.031594,4,76561198171814417,Faat
23.753897,0.0,1.5840039,4,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,5,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,5,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,5,76561198002613044,frees.tyler
96.05051,0.0,4.727787,5,76561198274174345,zig
-129.99985,0.0,0.0,5,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,5,76561199557907229,shawty#)$@
55.536346,0.0,81.5827,5,76561198049602148,Moon
-154.91289,0.0,-0.13860004,5,76561199068251294,prosto bo$$
149.91956,0.0,10.031594,5,76561198171814417,Faat
24.035498,0.0,1.5840039,5,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,6,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,6,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,6,76561198002613044,frees.tyler
96.05051,0.0,4.727787,6,76561198274174345,zig
-129.99985,0.0,0.0,6,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,6,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,6,76561198049602148,Moon
-154.91289,0.0,-0.13860004,6,76561199068251294,prosto bo$$
148.26259,0.0,9.910353,6,76561198171814417,Faat
24.4579,0.0,1.5488039,6,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,7,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,7,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,7,76561198002613044,frees.tyler
96.05051,0.0,4.727787,7,76561198274174345,zig
-129.99985,0.0,0.0,7,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,7,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,7,76561198049602148,Moon
-154.91289,0.0,-0.13860004,7,76561199068251294,prosto bo$$
145.959,0.0,9.789111,7,76561198171814417,Faat
24.4579,0.0,1.5488039,7,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,8,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,8,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,8,76561198002613044,frees.tyler
96.05051,0.0,4.727787,8,76561198274174345,zig
-129.99985,0.0,0.0,8,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,8,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,8,76561198049602148,Moon
-154.91289,0.0,-0.13860004,8,76561199068251294,prosto bo$$
144.62534,0.0,9.66787,8,76561198171814417,Faat
24.4579,0.0,1.5488039,8,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,9,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,9,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,9,76561198002613044,frees.tyler
96.05051,0.0,4.727787,9,76561198274174345,zig
-129.99985,0.0,0.0,9,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,9,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,9,76561198049602148,Moon
-154.91289,0.0,-0.13860004,9,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,9,76561198171814417,Faat
24.4579,0.0,1.5488039,9,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,10,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,10,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,10,76561198002613044,frees.tyler
96.05051,0.0,4.727787,10,76561198274174345,zig
-129.99985,0.0,0.0,10,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,10,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,10,76561198049602148,Moon
-154.91289,0.0,-0.13860004,10,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,10,76561198171814417,Faat
24.4579,0.0,1.5488039,10,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,11,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,11,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,11,76561198002613044,frees.tyler
96.05051,0.0,4.727787,11,76561198274174345,zig
-129.99985,0.0,0.0,11,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,11,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,11,76561198049602148,Moon
-154.91289,0.0,-0.13860004,11,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,11,76561198171814417,Faat
24.4579,0.0,1.5488039,11,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,12,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,12,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,12,76561198002613044,frees.tyler
96.05051,0.0,4.727787,12,76561198274174345,zig
-129.99985,0.0,0.0,12,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,12,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,12,76561198049602148,Moon
-154.91289,0.0,-0.13860004,12,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,12,76561198171814417,Faat
24.4579,0.0,1.5488039,12,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,13,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,13,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,13,76561198002613044,frees.tyler
96.05051,0.0,4.727787,13,76561198274174345,zig
-129.99985,0.0,0.0,13,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,13,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,13,76561198049602148,Moon
-154.91289,0.0,-0.13860004,13,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,13,76561198171814417,Faat
24.4579,0.0,1.5488039,13,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,14,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,14,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,14,76561198002613044,frees.tyler
96.05051,0.0,4.727787,14,76561198274174345,zig
-129.99985,0.0,0.0,14,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,14,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,14,76561198049602148,Moon
-154.91289,0.0,-0.13860004,14,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,14,76561198171814417,Faat
24.4579,0.0,1.5488039,14,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,15,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,15,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,15,76561198002613044,frees.tyler
96.05051,0.0,4.727787,15,76561198274174345,zig
-129.99985,0.0,0.0,15,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,15,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,15,76561198049602148,Moon
-154.91289,0.0,-0.13860004,15,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,15,76561198171814417,Faat
24.4579,0.0,1.5488039,15,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,16,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,16,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,16,76561198002613044,frees.tyler
96.05051,0.0,4.727787,16,76561198274174345,zig
-129.99985,0.0,0.0,16,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,16,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,16,76561198049602148,Moon
-154.91289,0.0,-0.13860004,16,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,16,76561198171814417,Faat
24.4579,0.0,1.5488039,16,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,17,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,17,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,17,76561198002613044,frees.tyler
96.05051,0.0,4.727787,17,76561198274174345,zig
-129.99985,0.0,0.0,17,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,17,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,17,76561198049602148,Moon
-154.91289,0.0,-0.13860004,17,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,17,76561198171814417,Faat
24.4579,0.0,1.5488039,17,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,18,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,18,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,18,76561198002613044,frees.tyler
96.05051,0.0,4.727787,18,76561198274174345,zig
-129.99985,0.0,0.0,18,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,18,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,18,76561198049602148,Moon
-154.91289,0.0,-0.13860004,18,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,18,76561198171814417,Faat
24.4579,0.0,1.5488039,18,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,19,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,19,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,19,76561198002613044,frees.tyler
96.05051,0.0,4.727787,19,76561198274174345,zig
-129.99985,0.0,0.0,19,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,19,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,19,76561198049602148,Moon
-154.91289,0.0,-0.13860004,19,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,19,76561198171814417,Faat
24.4579,0.0,1.5488039,19,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,20,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,20,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,20,76561198002613044,frees.tyler
96.05051,0.0,4.727787,20,76561198274174345,zig
-129.99985,0.0,0.0,20,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,20,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,20,76561198049602148,Moon
-154.91289,0.0,-0.13860004,20,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,20,76561198171814417,Faat
24.4579,0.0,1.5488039,20,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,21,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,21,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,21,76561198002613044,frees.tyler
96.05051,0.0,4.727787,21,76561198274174345,zig
-129.99985,0.0,0.0,21,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,21,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,21,76561198049602148,Moon
-154.91289,0.0,-0.13860004,21,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,21,76561198171814417,Faat
24.4579,0.0,1.5488039,21,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,22,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,22,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,22,76561198002613044,frees.tyler
96.05051,0.0,4.727787,22,76561198274174345,zig
-129.99985,0.0,0.0,22,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,22,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,22,76561198049602148,Moon
-154.91289,0.0,-0.13860004,22,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,22,76561198171814417,Faat
24.4579,0.0,1.5488039,22,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,23,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,23,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,23,76561198002613044,frees.tyler
96.05051,0.0,4.727787,23,76561198274174345,zig
-129.99985,0.0,0.0,23,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,23,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,23,76561198049602148,Moon
-154.91289,0.0,-0.13860004,23,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,23,76561198171814417,Faat
24.4579,0.0,1.5488039,23,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,24,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,24,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,24,76561198002613044,frees.tyler
96.05051,0.0,4.727787,24,76561198274174345,zig
-129.99985,0.0,0.0,24,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,24,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,24,76561198049602148,Moon
-154.91289,0.0,-0.13860004,24,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,24,76561198171814417,Faat
24.4579,0.0,1.5488039,24,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,25,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,25,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,25,76561198002613044,frees.tyler
96.05051,0.0,4.727787,25,76561198274174345,zig
-129.99985,0.0,0.0,25,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,25,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,25,76561198049602148,Moon
-154.91289,0.0,-0.13860004,25,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,25,76561198171814417,Faat
24.4579,0.0,1.5488039,25,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,26,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,26,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,26,76561198002613044,frees.tyler
96.05051,0.0,4.727787,26,76561198274174345,zig
-129.99985,0.0,0.0,26,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,26,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,26,76561198049602148,Moon
-154.91289,0.0,-0.13860004,26,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,26,76561198171814417,Faat
24.4579,0.0,1.5488039,26,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,27,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,27,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,27,76561198002613044,frees.tyler
96.05051,0.0,4.727787,27,76561198274174345,zig
-129.99985,0.0,0.0,27,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,27,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,27,76561198049602148,Moon
-154.91289,0.0,-0.13860004,27,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,27,76561198171814417,Faat
24.4579,0.0,1.5488039,27,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,28,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,28,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,28,76561198002613044,frees.tyler
96.05051,0.0,4.727787,28,76561198274174345,zig
-129.99985,0.0,0.0,28,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,28,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,28,76561198049602148,Moon
-154.91289,0.0,-0.13860004,28,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,28,76561198171814417,Faat
24.4579,0.0,1.5488039,28,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,29,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,29,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,29,76561198002613044,frees.tyler
96.05051,0.0,4.727787,29,76561198274174345,zig
-129.99985,0.0,0.0,29,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,29,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,29,76561198049602148,Moon
-154.91289,0.0,-0.13860004,29,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,29,76561198171814417,Faat
24.4579,0.0,1.5488039,29,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,30,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,30,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,30,76561198002613044,frees.tyler
96.05051,0.0,4.727787,30,76561198274174345,zig
-129.99985,0.0,0.0,30,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,30,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,30,76561198049602148,Moon
-154.91289,0.0,-0.13860004,30,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,30,76561198171814417,Faat
24.4579,0.0,1.5488039,30,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,31,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,31,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,31,76561198002613044,frees.tyler
96.05051,0.0,4.727787,31,76561198274174345,zig
-129.99985,0.0,0.0,31,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,31,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,31,76561198049602148,Moon
-154.91289,0.0,-0.13860004,31,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,31,76561198171814417,Faat
24.4579,0.0,1.5488039,31,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,32,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,32,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,32,76561198002613044,frees.tyler
96.05051,0.0,4.727787,32,76561198274174345,zig
-129.99985,0.0,0.0,32,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,32,76561199557907229,shawty#)$@
55.548447,0.0,79.598305,32,76561198049602148,Moon
-154.91289,0.0,-0.13860004,32,76561199068251294,prosto bo$$
144.14038,0.0,9.627456,32,76561198171814417,Faat
24.4579,0.0,1.5488039,32,76561199052717313,Worfy
-9.340018,0.0,-4.4731865,33,76561199256543526,Wybaczam.oficjalnie skins.army
172.78522,0.0,-0.48114967,33,76561199826895670,RME | Пацан
-177.00005,0.0,0.0,33,76561198002613044,frees.tyler
96.05051,0.0,4.727787,33,76561198274174345,zig
-129.99985,0.0,0.0,33,76561199433997570,Simple Dimple skins.army
-156.75258,0.0,1.4309297,33,76561199557907229,shawty#)$@
